Drug,Pathway,DetailedPathway,Impact,MIC,Induction,Rep1,Rep2
Azithromycin,Ribosome,50S subunit,Static,0.25,0,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-25MIC_S59_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-25MIC_S49_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,2,0,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-2MIC_S41_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-2MIC_S45_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,0.5,0,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-5MIC_S52_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-5MIC_S50_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,1,0,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-MIC_S44_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-MIC_S40_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,0.25,1,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-25MIC1mM_S55_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-25MIC1mM_S59_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,2,1,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-2MIC1mM_S50_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-2MIC1mM_S47_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,0.5,1,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-5MIC1mM_S51_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-5MIC1mM_S48_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,1,1,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-MIC1mM_S43_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-MIC1mM_S41_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,0.25,2,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-25MIC-2mM_S56_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-25MIC-2mM_S52_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,2,2,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-2MIC-2mM_S39_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-2MIC-2mM_S42_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
