Gene	Category	Start	End	MaxLogFC	Expression	Direction	Upstream	P-Value	Q-Value
thrA	downregulated	336	2799	-1.16110219140364	increased_insertions	reverse		4.304957938226681e-09	4.39140427101849e-07
thrB	knockout	2800	3733	1.16110219140364	increased_insertions	reverse	NA	4.304957938226681e-09	4.39140427101849e-07
satP	upregulated	9927	10494	2.62799580760666	increased_insertions	reverse	yaaJ__3prime	0.104933278154651	0.339897832363171
dnaK	knockout	12162	14079	-2.6136381109397	decreased_insertions	forward	dnaK__3prime	5.2381912315696e-05	0.0015882781619623
pdxA	upregulated	52426	53416	1.59878559523731	increased_insertions/decreased_insertions	reverse/forward	rsmA__3prime/djlA	2.08133454972107e-05	0.0007788994295686
yabI	unclassified	67837	68602	2.10586354002926	increased_insertions	forward	sgrS	6.838354592682121e-10	8.08395768624637e-08
68622_68707	knockout	68622	68707	2.10586354002926	increased_insertions	forward	sgrS	6.838354592682121e-10	8.08395768624637e-08
thiQ	downregulated	68715	69414	-2.10586354002926	increased_insertions	forward		6.838354592682121e-10	8.08395768624637e-08
leuL	knockout	80108	80195	-2.57244032574949	decreased_insertions	forward	leuO	1.79206561948355e-07	1.22528854166743e-05
yadV	upregulated	151947	152688	2.13654186101803	decreased_insertions	reverse	htrE__3prime	0.0003428372725535	0.006872501839191
gluQ	upregulated	155672	156599	2.45807818907385	decreased_insertions	reverse		4.90715133893949e-09	4.96564458289965e-07
degP	knockout	177370	178795	1.64303754253747	increased_insertions	forward	cdaR__3prime	1.19558076237237e-08	1.04295869401711e-06
cdaR	upregulated	178949	180107	1.64303754253747	increased_insertions	forward		1.19558076237237e-08	1.04295869401711e-06
yafS	unclassified	231302	232025	3.63371713399381	increased_insertions	forward	dnaQ__3prime	6.30803523716223e-09	6.04472255415644e-07
rnhA	knockout	232021	232489	3.63371713399381	increased_insertions	forward	dnaQ__3prime	6.30803523716223e-09	6.04472255415644e-07
dnaQ	upregulated	232553	233285	3.63371713399381	increased_insertions	forward		6.30803523716223e-09	6.04472255415644e-07
crl	unclassified	254315	254717	-1.07234697076345	decreased_insertions	forward	proB	7.86941415876807e-06	0.0003408911633364
254726_254747	knockout	254726	254747	-1.07234697076345	decreased_insertions	forward	proB	7.86941415876807e-06	0.0003408911633364
phoE	downregulated	254755	255811	-1.07234697076345	decreased_insertions	forward		7.86941415876807e-06	0.0003408911633364
ykfG	upregulated	259966	260443	1.84988041220517	increased_insertions	reverse		1.38922609271124e-05	0.0005491350264595
yafX	knockout	260458	260917	1.84988041220517	increased_insertions	reverse	ykfG__3prime	1.38922609271124e-05	0.0005491350264595
insI1	downregulated	4497282	4498434	-2.37850673036688	decreased_insertions	forward		0.0001778016937371	0.0040891156801484
yahK	downregulated	338594	339644	-1.35728812781506	decreased_insertions	reverse		0.0004197158052929	0.0079834364227836
