Gene	Category	Start	End	MaxLogFC	Expression	Direction	Upstream	P-Value	Q-Value
rsmA	unclassified	51608	52430	1.04809220790744	increased_insertions	forward	djlA	0.0002006607799258	0.0066574321945644
pdxA	knockout	52426	53416	-1.70047500785141	decreased_insertions/increased_insertions	forward/reverse	rsmA__3prime/djlA	5.04532300671491e-07	4.78439697360644e-05
yabI	unclassified	67837	68602	1.74604172655529	increased_insertions	forward	sgrS	9.42704399452357e-06	0.000561903863378
68622_68707	knockout	68622	68707	1.74604172655529	increased_insertions	forward	sgrS	9.42704399452357e-06	0.000561903863378
thiQ	downregulated	68715	69414	-1.74604172655529	increased_insertions	forward		9.42704399452357e-06	0.000561903863378
leuL	knockout	80108	80195	-2.2806866078178	decreased_insertions	forward	leuO	1.07078987978977e-06	9.0710180016591e-05
gluQ	upregulated	155672	156599	2.54463945067457	decreased_insertions	reverse		1.8878205352548e-09	3.03652348626364e-07
ykfG	upregulated	259966	260443	1.13383157069281	increased_insertions	reverse		0.0010700182159785	0.0224739197858498
yahK	downregulated	338594	339644	-1.16023606700739	decreased_insertions	reverse		0.0003082034725062	0.0092149212356153
yaiL	downregulated	372227	372767	-1.66138790722933	increased_insertions	reverse		0.0044417207276684	0.0604292776086543
372790_372977	knockout	372790	372977	1.66138790722933	increased_insertions	reverse	mhpR__3prime	0.0044417207276684	0.0604292776086543
phoR	downregulated	413344	414640	-2.72541503694473	decreased_insertions	reverse		0.0102540689108696	0.107441666571846
hha	knockout	475545	475764	-1.13500505939267	decreased_insertions	forward	acrR	1.053287308336e-07	1.20577674117347e-05
tomB	knockout	475789	476164	-1.13500505939267	decreased_insertions	forward	acrR	1.053287308336e-07	1.20577674117347e-05
ybbN	upregulated	512880	513735	1.09520112447511	decreased_insertions	reverse		0.0018745154443253	0.0332738892362639
rhsH	upregulated	523407	524115	2.1727907727469	decreased_insertions	forward		9.919274561017511e-09	1.40049135385388e-06
folD	upregulated	552330	553197	1.7777454258902	increased_insertions	reverse		0.521057398069953	0.814500720540644
rusA	unclassified	568826	569189	-1.98816255722715	decreased_insertions	forward	quuD__3prime	0.0018818369639684	0.0332738892362639
ylcG	knockout	569185	569326	-1.98816255722715	decreased_insertions	forward	quuD__3prime	0.0018818369639684	0.0332738892362639
quuD	upregulated	569411	569795	1.98816255722715	decreased_insertions	forward		0.0018818369639684	0.0332738892362639
essD	upregulated	572853	573069	3.72616184641847	decreased_insertions	forward		1.70117924546774e-08	2.32439620130737e-06
umpH	upregulated	695029	695782	1.14043598917146	increased_insertions	reverse		1.07398297663463e-07	1.21061508726047e-05
sucC	knockout	758469	759636	2.90974335860511	increased_insertions	forward/nodirection	NA/sucD__3prime	9.89054093153096e-16	3.69644422402835e-13
bioF	unclassified	805836	806991	1.46277908433436	increased_insertions	forward	bioC__3prime	0.0002173696794639	0.0071372519817774
aqpZ	upregulated	910807	911503	1.58494320600907	decreased_insertions	reverse		8.20218861065788e-06	0.0005059476246389
ybjD	unclassified	911928	913587	1.38937748395169	increased_insertions	forward	macA	3.00888144620931e-09	4.77923206712271e-07
csgF	upregulated	1097166	1097583	1.10490051310238	decreased_insertions	reverse		0.0002287755413951	0.0074159459298675
flgL	downregulated	1135488	1136442	-1.75088459227224	increased_insertions	reverse		1.88553128401384e-06	0.0001488164349438
phoQ	knockout	1183771	1185232	-1.59185768589935	decreased_insertions	forward/nodirection	NA/1186035_1186058	3.2246662967740203e-09	5.05874501643303e-07
ymfE	upregulated	1192988	1193693	1.09782505622899	decreased_insertions	reverse		0.0001232179003363	0.0045383474190532
minE	downregulated	1219734	1220001	-1.4471680142265	decreased_insertions	forward		1.6906529593675e-06	0.0001351140072621
ychJ	knockout	1284129	1284588	-3.70671327617785	decreased_insertions	forward	rssB__3prime	4.4655221099254e-11	1.01327481162182e-08
rssA	knockout	1284700	1285606	-3.70671327617785	decreased_insertions	forward	rssB__3prime	4.4655221099254e-11	1.01327481162182e-08
rssB	upregulated	1285697	1286711	3.70671327617785	decreased_insertions	forward		4.4655221099254e-11	1.01327481162182e-08
hns	upregulated	1287964	1288378	2.05097506390231	decreased_insertions	reverse		1.22611742920346e-06	0.0001018318573391
ycjV	knockout	1375077	1376159	-2.01024841804148	decreased_insertions	forward	ompG__3prime	6.703669665702051e-09	9.67994664114499e-07
ompG	upregulated	1376203	1377109	2.01024841804148	decreased_insertions	forward		6.703669665702051e-09	9.67994664114499e-07
1469295_1470516	upregulated	1469295	1470516	1.91887360255371	increased_insertions	forward		4.74682618378012e-08	6.0317920317294e-06
ynbA	unclassified	1471877	1472483	1.0147936880633	increased_insertions	forward	ynbB__3prime	0.0363530847045633	0.231316298117619
rydC	unclassified	1485699	1485763	-1.98253833859397	decreased_insertions	forward	ydcA__3prime	0.0003894771900464	0.011047068423928
ydcA	upregulated	1485933	1486107	1.98253833859397	decreased_insertions	forward		0.0003894771900464	0.011047068423928
ydeQ	upregulated	1581076	1581991	1.09238154380702	increased_insertions	reverse		0.0001962529757926	0.0065282370769565
ydeR	knockout	1582049	1582553	1.09238154380702	increased_insertions	reverse	ydeQ__3prime	0.0001962529757926	0.0065282370769565
ynfC	upregulated	1651003	1651714	1.6420745998688	increased_insertions	reverse		2.1859758852797e-05	0.0011430944680761
chbC	upregulated	1814112	1815471	1.31821133050828	decreased_insertions	reverse		0.0001001877661874	0.0038116345657007
yeaG	unclassified	1861164	1863099	2.86736132304413	increased_insertions	forward	1863148_1863187__3prime	0.0007330090328769	0.0177695697471127
1863148_1863187	upregulated	1863148	1863187	2.86736132304413	increased_insertions	forward		0.0007330090328769	0.0177695697471127
yeaH	upregulated	1863211	1864495	2.86736132304413	increased_insertions	forward		0.0007330090328769	0.0177695697471127
uspC	over_50_perc_inactivation	1973233	1973662	-4.06716371871901	decreased_insertions	reverse	flhD__3prime	2.7250821389146e-05	0.0013741118547296
