Gene	Category	Start	End	MaxLogFC	Expression	Direction	Upstream	P-Value	Q-Value
dnaK	knockout	12162	14079	1	increased_insertions	nodirection	NA	4.34234804759093e-07	5.92753362959571e-05
leuL	knockout	80108	80195	-1.73181353588399	decreased_insertions	forward	leuO	0.008210293099331	0.143100714292773
leuO	upregulated	80854	81799	1.61819423993658	decreased_insertions	forward		0.212407148930367	0.683923874238218
ilvH	downregulated	83843	84335	-1.46789445971403	increased_insertions	reverse		7.90076913819897e-05	0.0049094358159514
frsA	downregulated	253013	254258	-1.33616243124253	increased_insertions	reverse		3.15177494450671e-06	0.0003218284840973
tomB	upregulated	475789	476164	1.65024854317557	increased_insertions	reverse		0.000178167722811	0.0096672762736998
acrR	knockout	481216	481864	3.06465518990407	increased_insertions	forward	mscK__3prime	0.0035280425479147	0.081699385288139
mscK	upregulated	481991	485354	3.06465518990407	increased_insertions	forward		0.0035280425479147	0.081699385288139
gltJ	upregulated	681384	682125	1.12385688528422	increased_insertions	reverse		0.0006594712820411	0.0265590794581031
682205_682230	downregulated	682205	682230	-1.12385688528422	increased_insertions	reverse		0.0006594712820411	0.0265590794581031
minE	downregulated	1219734	1220001	-2.40801522573828	decreased_insertions	forward		1.9985794066701397e-11	4.890109008622341e-09
rssA	knockout	1284700	1285606	1	increased_insertions	nodirection	NA	6.05864436941876e-08	1.00728846387977e-05
yciA	upregulated	1306104	1306503	2.27084197057963	increased_insertions	reverse		2.64297985930134e-05	0.0020280569713266
ydeQ	upregulated	1581076	1581991	1.14819244993561	increased_insertions	reverse		0.0002085068456434	0.0111272295238883
ydeR	knockout	1582049	1582553	1.14819244993561	increased_insertions	reverse	ydeQ__3prime	0.0002085068456434	0.0111272295238883
chbC	upregulated	1814112	1815471	1.63629870290439	decreased_insertions	reverse		7.76225233968113e-05	0.004886450890339
rlmA	upregulated	1900507	1901317	1.4038303374993	increased_insertions	reverse		1.30463143591535e-18	7.35585237432621e-16
cspC	knockout	1901482	1901692	1.4038303374993	increased_insertions	reverse	rlmA__3prime	1.30463143591535e-18	7.35585237432621e-16
yobF	knockout	1901704	1901848	1.4038303374993	increased_insertions	reverse	rlmA__3prime	1.30463143591535e-18	7.35585237432621e-16
prc	knockout	1907024	1909073	-3.62248761396099	decreased_insertions	forward	yebS	0.0005085830474064	0.0221425988108307
uspC	over_50_perc_inactivation	1973233	1973662	-2.8745242478009	decreased_insertions	reverse	flhD__3prime	0.0097066528892349	0.158733763767464
yoeH	downregulated	2061741	2061900	-1.44704019458395	decreased_insertions	forward		0.0015859558430507	0.047829477610888
psuK	upregulated	2251833	2252775	2.40901273578799	increased_insertions	reverse		4.1121321884745e-23	4.10201001693364e-20
rcsD	downregulated	2306966	2309639	-1.77302106998492	increased_insertions	reverse		1.73630546279574e-12	4.89487157424678e-10
yfaL	upregulated	2333895	2337648	3.06055003229725	decreased_insertions	reverse		4.98659143851575e-05	0.0033856606164749
elaA	upregulated	2374560	2375022	1.17895978909638	decreased_insertions	reverse		0.0036162053305762	0.0831843641093193
lrhA	upregulated	2399181	2400120	3.352615523528	increased_insertions	reverse		2.76991758349431e-27	3.59202912227542e-24
alaA	knockout	2401039	2402257	3.76788939683089	increased_insertions	reverse	lrhA__3prime	1.1960450645001999e-31	3.10206247928772e-28
gtrB	unclassified	2461692	2462613	-1.03213969420715	decreased_insertions	forward	tfaS	1.93514558724681e-06	0.0002132585858187
ratA	upregulated	2747646	2748123	3.7492060964671	increased_insertions	reverse		1.34834366957498e-06	0.0001649558557268
ygbN	downregulated	2858459	2859824	-1.89870009064065	increased_insertions	reverse		1.0499018216123701e-14	3.89003623504833e-12
2859837_2859855	downregulated	2859837	2859855	-1.89870009064065	increased_insertions	reverse		1.0499018216123701e-14	3.89003623504833e-12
pcm	upregulated	2862251	2862878	1.61388434881623	decreased_insertions	reverse	nlpD__3prime	6.394140103884939e-11	1.53554090494777e-08
umpG	knockout	2862871	2863633	-1.75371689303247	decreased_insertions	reverse	pcm__3prime	4.43121570549115e-12	1.1971667764335302e-09
ispF	upregulated	2864659	2865139	3.81786401277519	decreased_insertions	reverse		2.94763987259062e-09	5.88076828734695e-07
ftsB	upregulated	2865867	2866179	1.27330782947644	decreased_insertions	reverse		0.0842956828539945	0.483805569987414
ygdD	upregulated	2934594	2934990	1.85698346521664	increased_insertions	reverse		9.40811605023343e-08	1.43534645811091e-05
gcvB	downregulated	2936054	2936260	-2.41431840904809	increased_insertions	reverse		7.79862205698362e-14	2.5931418162811196e-11
ygdI	knockout	2936276	2936504	2.41431840904809	increased_insertions	reverse	gcvA__3prime	7.79862205698362e-14	2.5931418162811196e-11
scpB	downregulated	3057351	3058137	-1.40146385452403	increased_insertions	reverse	yqfE__3prime	0.0878826097526807	0.492933254010711
cmtB	upregulated	3072245	3072689	2.09199253791427	decreased_insertions	reverse		0.0001331262747518	0.0077070604061678
yqiA	upregulated	3168783	3169365	1.06825514600805	increased_insertions	reverse	parE__3prime	4.0291012423189605e-09	7.7984156582675e-07
arcZ	downregulated	3343935	3344056	-1.46100493598271	increased_insertions	reverse	elbB__3prime	2.74592111749592e-08	4.81204122320095e-06
dusB	knockout	3403638	3404604	1.42133416133173	increased_insertions	reverse	csrD__3prime	3.18096882168888e-15	1.21325893175475e-12
fis	knockout	3404629	3404926	2.21353323480339	increased_insertions	reverse	csrD__3prime	1.03682209062487e-11	2.6363742884751603e-09
acrE	upregulated	3407222	3408380	1.77270205167682	increased_insertions	forward		0.0293483406976456	0.293639248346565
pck	downregulated	3526176	3527799	-1.28661499006988	decreased_insertions	reverse		3.93728529680723e-16	1.64705534609665e-13
envZ	knockout	3527874	3529227	-1.43929026970357	decreased_insertions	reverse	yhgE__3prime	3.93728529680723e-16	1.64705534609665e-13
yrhB	downregulated	3578118	3578403	-1.08696175697349	decreased_insertions	reverse	ryhB__3prime	0.0011280878091745	0.0383964375574148
ftsX	knockout	3594387	3595446	-2.15848483542311	decreased_insertions	reverse	rpoH__3prime	6.99867523591259e-05	0.0045153642019559
ftsE	knockout	3595438	3596107	-2.15848483542311	decreased_insertions	reverse	rpoH__3prime	6.99867523591259e-05	0.0045153642019559
slp	downregulated	3647320	3647887	-1.10968617848152	increased_insertions	reverse	insH1__3prime	1.43725116763969e-05	0.0011871511555383
yhjJ	upregulated	3673803	3675300	2.13289989826197	increased_insertions	reverse		0.0002886935766761	0.0147392846548667
yibI	upregulated	3764741	3765104	1.44164314726314	decreased_insertions	reverse		0.000254692830959	0.0132114265275077
grxC	upregulated	3777550	3777802	1.23030979928301	decreased_insertions	reverse		0.0003640111177861	0.0174833191683358
gpmM	downregulated	3778619	3780164	-2.40521222831017	decreased_insertions	reverse		3.82088415632673e-21	2.60785398627606e-18
gltS	upregulated	3820819	3822025	2.96518219571658	increased_insertions	reverse		1.5847637152588102e-14	5.708671072076749e-12
xanP	knockout	3822304	3823696	2.96518219571658	increased_insertions	reverse	gltS__3prime	1.5847637152588102e-14	5.708671072076749e-12
yidC	downregulated	3878435	3880082	-2.24101760487141	increased_insertions	reverse		3.14834360855425e-19	1.94417713884436e-16
3880137_3880166	downregulated	3880137	3880166	-2.24101760487141	increased_insertions	reverse		3.14834360855425e-19	1.94417713884436e-16
pstC	upregulated	3902798	3903758	1.04355146525939	increased_insertions	reverse		4.54810427740329e-07	6.14373086139228e-05
3903802_3903837	downregulated	3903802	3903837	-1.04355146525939	increased_insertions	reverse		4.54810427740329e-07	6.14373086139228e-05
